1 0 1,2 0 1,3 0 1,4 0 1,5 0 1,6 0 1,7 0 1,8 0 1,9 0 1,10 0 1,11 0 1,12 0 1,13 0 1,14 0 1,15 0 1,16 0 1,17 0 1,18 0 1,19 0 1,20 0 1,21 0 1,22 0 1,23 0 1,24 0 1,25 0 1,26 0 1,27 0 1,28 0 1,29 0 1,30 0 1,31 0 1,32 0 1,33 0 1,34 0 1,35 0 1,36 0 1,37 0 1,38 0 1,39 0 1,40 0 1,41 0 1,42 0 1,43 0 1,44 0 1,45 0 1,46 0 1,47 0 1,48 0 1,49 0 1,50 0 1
2.0900764,-0.4594858,0.19503301,0.33574742,-0.2997289,-1.5692652,0.0716604,0.3439017,-0.003390789,0.1614407,-0.849441,1.3594077,-1.2619362,0.38240147,-0.9190352,-0.4880073,2.1063094,0.22148108,-0.3330508,-0.105121195,-0.7021135,-1.2600132,-1.5905187,0.30636704,0.18428752,0.38920456,0.015813645,0.861709,-2.2373755,-1.0327979,0.20139062,0.98239154,-0.15339398,0.11992997,-0.51396835,-0.74383354,-2.3538885,-1.2573812,0.354802,-1.2905331,-1.2228173,0.47287375,-1.1682546,0.1202777,0.21494901,-0.81379557,-0.47653943,0.11177075,-0.4515406,-0.9526663
-1.1785171,0.75522965,0.80093575,-0.8710182,-0.59177184,-0.53592,0.22192506,0.72204745,-0.9946301,0.6298837,0.28815103,-1.1891578,1.2234524,0.1695225,1.4629864,0.13123304,-0.26687896,-0.44568396,-0.17334598,-0.17966211,0.0733521,-0.5169431,1.505976,-1.5064914,1.3740249,0.15262231,0.544588,-0.58575106,0.21972263,0.3121888,-0.7250097,-0.6862173,-1.2159469,0.14031175,1.5268211,0.97615755,0.9893912,2.0413237,-1.6057215,0.22318745,1.1391242,-0.5105417,1.0582936,-0.33510324,-1.6187183,-0.62149376,-0.38979167,-0.92663294,0.41419315,-0.052025974
0.057299733,-0.79495955,-0.18613404,1.6258606,0.3947609,0.13474423,0.094201505,-1.3177078,1.9325359,-2.2268634,-1.131844,1.2848747,-0.18592012,0.71263736,-1.4083427,-1.4491804,0.8061148,-1.3930392,-0.32284948,0.4005053,0.41067016,1.312243,-0.98356444,0.26428187,-0.40525347,-1.6819894,-0.6963284,1.0558864,-0.555935,0.41716486,0.98614025,-0.19548267,1.074168,-0.9831042,-1.5308579,-0.62602246,-1.2568228,-0.6604947,0.9401144,0.50098366,-1.1263896,-0.076820254,0.8620764,-0.12536678,1.2742121,0.8362826,-0.84072953,1.0146904,-0.18728098,-0.050822668
0.2631514,0.37321883,0.017071247,-2.0698528,0.7741588,0.3375132,0.4704483,-0.59427273,0.2138145,1.9354405,1.1201917,-1.0409563,1.4187965,-0.28677234,0.106458545,-0.006963253,0.65972495,1.5379382,-0.968943,-0.9235064,0.22608191,-1.9849483,-0.04189241,-0.6572064,-0.16287354,1.1176071,0.22458693,-0.18240654,-0.8711027,1.5725992,-0.5765296,-0.6325481,-1.1128837,0.7072123,-0.11683905,-0.40825504,1.6918664,-0.43156153,-1.2882925,-0.59659356,1.0265583,0.24101606,-0.23581618,-0.3056201,-0.0885818,0.15542722,0.7203344,-0.7228614,-0.30206785,-0.41819432
0.4415856,1.9509802,0.06933117,3.0864258,-0.34193692,-1.0487428,-0.5266148,-0.8237468,-0.005063042,-0.6081443,0.5101212,0.048094213,-0.7064994,0.28745797,1.4626125,-0.7398346,-0.14188927,-1.7088614,0.7061982,0.20971775,0.5188304,1.490082,-0.9130756,0.7131282,0.32192916,-0.61719996,-1.0054958,-0.19934684,1.5588694,-1.8547395,-0.8235284,0.4235738,0.81879675,-0.84282666,1.7526675,0.05903867,0.5139251,0.86374724,1.612281,-1.4104626,-0.7914302,0.38163057,0.63840795,-0.3926846,0.83206636,0.77573985,-0.15441948,0.96336067,1.0425038,0.38794753
-0.15282363,-0.6675428,0.86829937,0.03938341,-0.64961886,1.2397535,1.0956609,1.4903791,0.938824,0.24884698,0.1620701,1.4244273,-0.078814566,-0.32588285,-0.42570174,1.6916317,0.17747936,0.7740487,-0.009989798,0.92408967,0.6821232,-0.8291319,2.8872943,-0.8289158,-0.7045008,0.60837626,1.6856346,-0.5734858,-1.3153819,1.3519653,0.29725784,-0.6787249,1.1681008,1.0960739,-1.562771,0.5587756,0.7093134,-1.6526136,-0.780817,0.07014203,0.69857186,-0.13522814,1.1105733,2.6845107,-0.3736384,-0.17780006,0.059049323,-0.840615,-0.013497949,-0.350942
-1.295194,1.8259953,-1.2936457,0.121445954,1.9176074,-0.89924526,0.32917297,-0.33332825,-0.027591884,-0.18336406,-1.2992406,-0.7633064,0.40794086,-0.28304133,0.61132455,-1.8332096,-0.5433545,-0.156429,0.9809736,-1.3776066,0.11384815,-0.5113066,-2.3099554,0.9415965,-0.22805184,-0.25935405,-0.89253634,0.55715954,0.61075085,-0.3132689,0.40823537,-0.647408,-0.7510381,-0.86505735,0.23599935,-0.295442,-0.03799045,1.5988545,0.48802847,-1.4231815,-0.75325376,0.46596047,-1.2819964,-1.175187,0.3861983,-0.5296282,-0.18579492,1.4022851,0.100138314,1.2641686
1.8118005,0.07241166,0.90057147,0.68395966,0.16206384,-0.5829218,-0.4020003,0.74407685,0.9099382,-0.12479083,1.4483658,-0.23106259,0.74006796,0.9219489,-0.7896454,1.4714651,1.2231696,-0.84197336,-1.0180385,-0.20326865,-0.35890937,-0.4457165,1.408198,-1.165682,0.33999085,1.0646045,0.8559036,-1.514434,-2.018681,-1.3015445,0.98398316,1.8317245,0.046739697,0.09888393,-0.62449646,-0.29913336,0.24845004,-0.5853742,0.48213595,1.7873396,-0.7732382,0.57584506,1.1336942,0.92248994,0.4914772,0.7355631,0.2059186,-2.1843457,0.92422944,-1.4421262
-1.8888613,-1.1695242,-0.852208,-1.2196056,-2.0352912,0.95600486,-0.70381504,0.44008744,-0.26900685,-0.077564344,-1.1264043,0.6522082,-0.80515814,-0.57504654,0.5710759,-1.4944725,-0.5890637,1.2913123,1.0984739,-0.25657728,0.03508526,0.12007928,-0.6570376,1.5096033,0.028636068,0.013051391,0.35654414,-0.9926423,1.9468962,-0.0051202774,0.086921334,-1.8690346,0.68897307,1.2058346,0.62369007,0.29298708,0.4307952,0.009092689,0.5247794,-0.0057048798,0.5969273,-0.46781433,-1.2000695,-0.4502414,0.015365779,-0.36214828,-1.1372604,2.7521513,-1.8435926,0.38203287
0.6077378,1.0896115,-0.32921332,0.8451186,1.5935587,-1.3754314,1.2077388,-1.1870947,0.7555332,0.46415976,1.0435491,-0.8077658,0.45794913,-0.8854393,-1.1097934,0.7907439,1.5337161,-0.18820477,-1.3605152,0.6916013,-0.4444689,-0.43695346,0.3770982,-1.085051,-1.5358527,-0.94602674,0.2244704,0.03518802,-1.2634649,-0.5314161,0.18563275,0.85980266,-1.5451275,0.060586214,-0.09800166,0.09106034,1.9839873,0.49613857,-0.34190914,0.8273085,-1.3005295,0.83309174,-0.5407585,0.5453891,-0.19363503,0.66988325,1.0456723,-1.3945608,1.4501896,0.8011308
0.59241426,-0.8219058,-0.73297054,-1.1793853,-1.3623986,1.1668566,-0.9644151,-0.45784426,0.09339821,-0.4919448,-0.19754153,0.79271203,0.6661365,1.5465585,1.0472124,-0.6311626,0.51479626,0.74642074,-0.06658459,-1.3925183,0.29383886,-0.6321933,0.19261289,0.274027,1.8625343,0.26083744,1.188823,-0.56153685,0.21233106,-0.45499253,0.0014932156,-0.50185716,-1.3008182,0.46686044,0.16765825,1.8537918,-0.47625136,1.495458,0.15406339,0.9606091,0.9465739,-1.1483926,-0.0041748285,-0.42369145,0.12027981,-0.9961554,-1.0518134,1.405178,-0.5278026,-0.8037689
-0.7821785,0.36940932,-1.3480337,-0.19288397,0.87721527,-2.5193365,0.64547455,0.7734554,0.16421184,-0.8206529,-0.6687666,-0.68679523,-1.1741563,-0.55148906,0.06647611,0.13364846,-0.21650502,-2.6658964,-0.689193,0.62971485,-0.077861816,-0.42216867,-1.7799413,0.17082345,-0.5006615,-0.43931994,-2.4036627,0.56437844,0.040236786,0.6801974,0.17775305,1.6605288,1.0745368,0.19905949,-0.12625344,-0.8219545,0.30091697,0.38048506,0.18738809,-0.963049,-1.5975039,1.4348447,-0.89911926,0.32722995,0.31510618,0.57971305,0.66971344,-0.8399656,-0.48387897,1.7654276
0.50937843,-0.48893335,0.4281872,-0.6742567,-1.515979,2.5788174,-0.87578547,-0.82598203,0.7774078,-0.14171624,0.43501022,0.11100048,0.8342367,0.04428178,0.823514,0.0045632273,-0.3258999,2.4187553,-1.0669034,-0.028544068,-0.63138944,1.0374014,1.7735549,-1.7678667,0.35235703,-0.22369403,0.8068446,0.14938647,-0.05927381,0.34212285,-0.50959253,-0.68686503,-1.0322859,-1.2128034,1.9688337,0.36769095,0.00493744,1.2835493,0.17665595,2.8225021,0.8794011,-0.7995454,0.106167495,0.1772357,-0.4683773,1.1066693,-0.91339064,0.62363034,0.7016464,-0.83950627
-0.8944807,0.57204074,-1.148293,0.16638282,0.49921066,-1.4171604,0.7096644,0.8550183,-0.09588909,0.0030236691,0.36717677,-0.93863755,0.9938799,-0.53900814,-2.0305686,-1.444509,2.1353412,-0.43223405,0.09797865,-0.9543758,0.1467627,-0.7702646,-0.20357239,1.0329771,0.7642997,0.53085744,-1.8038764,-0.43144646,0.08936262,-0.29028141,0.18564129,0.18024328,0.7288461,0.9606236,-0.7211317,-0.22363545,0.2621262,-1.5112438,1.2537847,-1.1895621,-0.63604724,0.6107776,0.09011434,-1.1516216,-0.49658805,-0.984332,2.343713,0.5136463,-1.202082,0.5224289
